230045,ST PAUL SCHOOL,461 ALLING ST,KENSINGTON,CT,06037,(860) 828-4343,HARTFORD COUNTY,Private,PK,8,
230067,ST TIMOTHY MIDDLE SCHOOL,225 KING PHILIP DR,WEST HARTFORD,CT,06117,(860) 236-0614,HARTFORD COUNTY,Private,6,8,
230078,ST THOMAS THE APOSTLE,25 DOVER RD,WEST HARTFORD,CT,06119,(860) 236-0257,HARTFORD COUNTY,Private,PK,5,
230089,HOLY TRINITY SCHOOL,11 N WHITTLESEY AVE,WALLINGFORD,CT,06492,(203) 269-4476,NEW HAVEN COUNTY,Private,KG,8,
230103,BLESSED SACRAMENT SCHOOL,386 ROBINWOOD RD,WATERBURY,CT,06708,(203) 756-5313,NEW HAVEN COUNTY,Private,PK,8,
230114,HOLY CROSS HIGH SCHOOL,587 ORONOKE RD,WATERBURY,CT,06708,(203) 757-9248,NEW HAVEN COUNTY,Private,9,12,
230169,SACRED HEART HIGH SCHOOL,142 S ELM ST,WATERBURY,CT,06706,(203) 753-1605,NEW HAVEN COUNTY,Private,9,12,
230205,ST FRANCIS XAVIER SCHOOL,605 BALDWIN ST,WATERBURY,CT,06706,(203) 753-3197,NEW HAVEN COUNTY,Private,KG,8,
230249,ST MARY,55 COLE ST,WATERBURY,CT,06706,(203) 753-2574,NEW HAVEN COUNTY,Private,PK,8,
230271,SS PETER & PAUL SCHOOL116 ,BEECHER AVE,WATERBURY,CT,06705,(203) 755-0881,NEW HAVEN COUNTY,Private,PK,8,
230282,ST JOHN THE EVANGELIST SCHOOL,760 MAIN ST,WATERTOWN,CT,06795,(860) 274-9208,LITCHFIELD COUNTY,Private,PK,8,
230293,NORTHWEST CATHOLIC HIGH SCHOOL,29 WAMPANOAG DR,WEST HARTFORD,CT,06117,(860) 236-4221,HARTFORD COUNTY,Private,9,12,
230307,NOTRE DAME HIGH SCHOOL,24 RICARDO ST,WEST HAVEN,CT,06516,(203) 933-1673,NEW HAVEN COUNTY,Private,9,12,
230318,OUR LADY OF VICTORY SCHOOL,620 JONES HILL RD,WEST HAVEN,CT,06516,(203) 932-6457,NEW HAVEN COUNTY,Private,PK,8,
230329,ST LAWRENCE SCHOOL,231 MAIN ST,WEST HAVEN,CT,06516,(203) 933-2518,NEW HAVEN COUNTY,Private,PK,8,
230362,CORPUS CHRISTI SCHOOL,581 SILAS DEANE HWY,WETHERSFIELD,CT,06109,(860) 529-5487,HARTFORD COUNTY,Private,PK,8,
230373,ST GABRIEL SCHOOL,77 BLOOMFIELD AVE,WINDSOR,CT,06095,(860) 688-6401,HARTFORD COUNTY,Private,KG,8,
